Address,Area,Bedrooms,Bathrooms,Floors,Frontage,Access Road,House direction,Balcony direction,Legal status,Furniture state,Price
"Ba Đình, Hà Nội",47.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,25500.0
"Quận 8, Hồ Chí Minh",53.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,6950.0
"Long Biên, Hà Nội",55.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,10500.0
"Hoài Đức, Hà Nội",35.0,4.0,4.0,7.0,False,,N/A,N/A,N/A,N/A,9800.0
"Tân Phú, Hồ Chí Minh",56.0,3.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,5680.0
"Quận 10, Hồ Chí Minh",40.0,3.0,3.0,5.0,True,,N/A,N/A,N/A,N/A,8500.0
"Đông Anh, Hà Nội",58.0,,,5.0,False,,N/A,N/A,N/A,N/A,7500.0
"Nam Từ Liêm, Hà Nội",8.0,5.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,18500.0
"Hai Bà Trưng, Hà Nội",31.0,2.0,2.0,4.0,True,,N/A,N/A,N/A,N/A,12500.0
"Long Biên, Hà Nội",50.0,5.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,13000.0
"Long Biên, Hà Nội",36.0,3.0,4.0,6.0,True,,N/A,N/A,N/A,N/A,6900.0
"Long Biên, Hà Nội",90.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,24000.0
"Tân Bình, Hồ Chí Minh",165.0,31.0,31.0,7.0,False,,N/A,N/A,N/A,N/A,27900.0
"Quy Nhơn, Bình Định",100.0,3.0,3.0,4.0,True,,N/A,N/A,N/A,N/A,3700.0
"Quận 8, Hồ Chí Minh",77.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,10000.0
"Ba Đình, Hà Nội",40.0,3.0,,7.0,False,,N/A,N/A,N/A,N/A,16800.0
"Long Biên, Hà Nội",45.0,3.0,5.0,8.0,False,,N/A,N/A,N/A,N/A,16000.0
"Nha Trang, Khánh Hòa",147.0,,,3.0,False,,N/A,N/A,N/A,N/A,6200.0
"Quận 8, Hồ Chí Minh",88.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,10000.0
"Long Biên, Hà Nội",81.0,5.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,23500.0
"Thủ Dầu Một, Bình Dương",88.0,3.0,4.0,3.0,False,,N/A,N/A,N/A,N/A,3100.0
"Thủ Dầu Một, Bình Dương",120.0,3.0,4.0,3.0,False,,N/A,N/A,N/A,N/A,2950.0
"Quận 7, Hồ Chí Minh",77.0,4.0,4.0,3.0,False,,N/A,N/A,N/A,N/A,8555.0
"Nam Từ Liêm, Hà Nội",35.0,3.0,4.0,6.0,True,,N/A,N/A,N/A,N/A,7450.0
"Nha Trang, Khánh Hòa",105.0,4.0,2.0,3.0,True,,N/A,N/A,N/A,N/A,10500.0
"Hải An, Hải Phòng",46.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,3250.0
"Long Biên, Hà Nội",30.0,3.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,6500.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,6100.0
"Quận 8, Hồ Chí Minh",65.0,4.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,8200.0
"Quận 3, Hồ Chí Minh",35.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,11800.0
"Nha Trang, Khánh Hòa",58.0,4.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,3650.0
"Quận 8, Hồ Chí Minh",60.0,4.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,9000.0
"Gò Vấp, Hồ Chí Minh",60.0,4.0,6.0,4.0,False,,N/A,N/A,N/A,N/A,9000.0
"Bắc Từ Liêm, Hà Nội",30.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,170.0
"Ngô Quyền, Hải Phòng",119.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,17000.0
"Nha Trang, Khánh Hòa",53.0,3.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,3300.0
"Quận 3, Hồ Chí Minh",50.0,7.0,7.0,6.0,False,,N/A,N/A,N/A,N/A,9700.0
"Nha Trang, Khánh Hòa",148.0,6.0,6.0,5.0,True,,N/A,N/A,N/A,N/A,16900.0
"Quận 3, Hồ Chí Minh",69.0,6.0,6.0,3.0,False,,N/A,N/A,N/A,N/A,6500.0
"Hải An, Hải Phòng",60.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,5750.0
"Ngô Quyền, Hải Phòng",76.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,3700.0
"Long Biên, Hà Nội",50.0,3.0,,6.0,False,,N/A,N/A,N/A,N/A,7850.0
"Thủ Đức, Hồ Chí Minh",80.0,4.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,11900.0
"Tân Bình, Hồ Chí Minh",82.0,6.0,9.0,6.0,False,,N/A,N/A,N/A,N/A,16500.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,7000.0
"Tân Bình, Hồ Chí Minh",19.0,1.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,3200.0
"Nha Trang, Khánh Hòa",64.0,3.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,4500.0
"Lê Chân, Hải Phòng",72.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,6800.0
"Nam Từ Liêm, Hà Nội",35.0,5.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,7850.0
"Hoàng Mai, Hà Nội",36.0,,,7.0,False,,N/A,N/A,N/A,N/A,8350.0
"Thanh Xuân, Hà Nội",75.0,,,5.0,False,,N/A,N/A,N/A,N/A,180.0
"Thủ Đức, Hồ Chí Minh",47.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,4600.0
"Thanh Xuân, Hà Nội",50.0,6.0,5.0,8.0,False,,N/A,N/A,N/A,N/A,21500.0
"Tây Hồ, Hà Nội",51.0,6.0,4.0,7.0,False,,N/A,N/A,N/A,N/A,14200.0
"Gò Vấp, Hồ Chí Minh",48.0,3.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,5840.0
"Quận 3, Hồ Chí Minh",98.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,8600.0
"Bình Thạnh, Hồ Chí Minh",21.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,4950.0
"Thanh Xuân, Hà Nội",33.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,8700.0
"Phú Nhuận, Hồ Chí Minh",27.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,3500.0
"Quận 10, Hồ Chí Minh",29.0,2.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,6900.0
"Tân Phú, Hồ Chí Minh",36.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,6300.0
"Quận 7, Hồ Chí Minh",235.0,39.0,39.0,5.0,False,,N/A,N/A,N/A,N/A,26800.0
"Ba Đình, Hà Nội",52.0,4.0,6.0,8.0,False,,N/A,N/A,N/A,N/A,24000.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,8900.0
"Ba Đình, Hà Nội",45.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,10600.0
"Ba Đình, Hà Nội",45.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,10600.0
"Quận 7, Hồ Chí Minh",64.0,5.0,5.0,4.0,False,,N/A,N/A,N/A,N/A,15900.0
"Ba Đình, Hà Nội",45.0,3.0,,7.0,False,,N/A,N/A,N/A,N/A,12800.0
"Quận 7, Hồ Chí Minh",165.0,4.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,5500.0
"Thanh Xuân, Hà Nội",24.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,9100.0
"Lê Chân, Hải Phòng",80.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,7000.0
"Ba Đình, Hà Nội",46.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,10600.0
"Ba Đình, Hà Nội",98.0,26.0,26.0,10.0,True,,N/A,N/A,N/A,N/A,33500.0
"Thủ Đức, Hồ Chí Minh",66.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,6600.0
"Phú Nhuận, Hồ Chí Minh",40.0,5.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,8600.0
"Tây Hồ, Hà Nội",50.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,11800.0
"Bình Tân, Hồ Chí Minh",46.0,3.0,3.0,4.0,True,,N/A,N/A,N/A,N/A,4950.0
"Hoài Đức, Hà Nội",36.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,7350.0
"Quận 11, Hồ Chí Minh",605.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,8300.0
"Tân Bình, Hồ Chí Minh",80.0,5.0,6.0,6.0,False,,N/A,N/A,N/A,N/A,16480.0
"Ba Đình, Hà Nội",47.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,10600.0
"Quận 1, Hồ Chí Minh",77.0,4.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,45000.0
"Thủ Đức, Hồ Chí Minh",97.0,4.0,3.0,3.0,False,,N/A,N/A,N/A,N/A,7400.0
"Long Biên, Hà Nội",33.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,5700.0
"Phú Nhuận, Hồ Chí Minh",36.0,3.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,7850.0
"Quận 9, Hồ Chí Minh",76.0,3.0,4.0,4.0,False,,N/A,N/A,N/A,N/A,6700.0
"Quận 3, Hồ Chí Minh",110.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,8900.0
"Quận 1, Hồ Chí Minh",30.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5200.0
"Hải An, Hải Phòng",52.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,2950.0
"Thanh Xuân, Hà Nội",85.0,9.0,9.0,10.0,True,,N/A,N/A,N/A,N/A,73000.0
"Hai Bà Trưng, Hà Nội",105.0,36.0,36.0,10.0,False,,N/A,N/A,N/A,N/A,46500.0
"Phú Nhuận, Hồ Chí Minh",83.0,10.0,10.0,6.0,False,,N/A,N/A,N/A,N/A,19760.0
"Thủ Đức, Hồ Chí Minh",106.0,4.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,8800.0
"Long Biên, Hà Nội",48.0,5.0,6.0,9.0,True,,N/A,N/A,N/A,N/A,22000.0
"Ngô Quyền, Hải Phòng",60.0,8.0,9.0,6.0,False,,N/A,N/A,N/A,N/A,11900.0
"Long Biên, Hà Nội",80.0,5.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,23500.0
"Bắc Từ Liêm, Hà Nội",42.0,6.0,4.0,7.0,False,,N/A,N/A,N/A,N/A,11200.0
"Quận 12, Hồ Chí Minh",48.0,3.0,3.0,3.0,False,,N/A,N/A,N/A,N/A,4800.0
"Hà Đông, Hà Nội",37.0,3.0,3.0,7.0,False,,N/A,N/A,N/A,N/A,11500.0
"Gò Vấp, Hồ Chí Minh",36.0,3.0,4.0,4.0,False,,N/A,N/A,N/A,N/A,3830.0
"Nam Từ Liêm, Hà Nội",74.0,,,3.0,False,,N/A,N/A,N/A,N/A,10300.0
"Đống Đa, Hà Nội",30.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,6900.0
"Hoàng Mai, Hà Nội",42.0,3.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,7900.0
"Long Biên, Hà Nội",39.0,3.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,7300.0
"Ba Đình, Hà Nội",30.0,3.0,3.0,5.0,True,,N/A,N/A,N/A,N/A,890.0
"Quận 8, Hồ Chí Minh",41.0,3.0,3.0,2.0,False,,N/A,N/A,N/A,N/A,4480.0
"Long Biên, Hà Nội",32.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,9000.0
"Tân Phú, Hồ Chí Minh",60.0,5.0,6.0,5.0,False,,N/A,N/A,N/A,N/A,10000.0
"Ba Đình, Hà Nội",65.0,6.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,12800.0
"Thủ Đức, Hồ Chí Minh",120.0,5.0,5.0,4.0,False,,N/A,N/A,N/A,N/A,16500.0
"Long Biên, Hà Nội",38.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,5700.0
"Tây Hồ, Hà Nội",31.0,2.0,,7.0,False,,N/A,N/A,N/A,N/A,11500.0
"Hoàng Mai, Hà Nội",35.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,10000.0
"Lê Chân, Hải Phòng",68.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,9000.0
"Quận 9, Hồ Chí Minh",50.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5600.0
"Bình Thạnh, Hồ Chí Minh",24.0,3.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,6500.0
"Hoàng Mai, Hà Nội",42.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,12500.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,2550.0
"Đống Đa, Hà Nội",40.0,3.0,,8.0,False,,N/A,N/A,N/A,N/A,11900.0
"Thanh Xuân, Hà Nội",40.0,4.0,5.0,8.0,False,,N/A,N/A,N/A,N/A,15.0
"Gò Vấp, Hồ Chí Minh",41.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,4500.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,4.0,False,,N/A,N/A,N/A,N/A,6890.0
"Bình Tân, Hồ Chí Minh",56.0,2.0,2.0,3.0,True,,N/A,N/A,N/A,N/A,4980.0
"Quy Nhơn, Bình Định",100.0,3.0,3.0,4.0,True,,N/A,N/A,N/A,N/A,4300.0
"Hà Đông, Hà Nội",100.0,1.0,1.0,6.0,False,,N/A,N/A,N/A,N/A,30000.0
"Thuận An, Bình Dương",430.0,48.0,48.0,3.0,False,,N/A,N/A,N/A,N/A,17000.0
"Hai Bà Trưng, Hà Nội",195.0,10.0,10.0,11.0,True,,N/A,N/A,N/A,N/A,145000.0
"Bình Tân, Hồ Chí Minh",40.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,5550.0
"Hai Bà Trưng, Hà Nội",51.0,6.0,6.0,6.0,True,,N/A,N/A,N/A,N/A,15400.0
"Hoàng Mai, Hà Nội",53.0,6.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,12600.0
"Long Biên, Hà Nội",53.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,9000.0
"Quận 9, Hồ Chí Minh",56.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,8190.0
"Ba Đình, Hà Nội",531.0,8.0,8.0,9.0,True,,N/A,N/A,N/A,N/A,450000.0
"Quận 8, Hồ Chí Minh",130.0,4.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,22900.0
"Ba Đình, Hà Nội",190.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,48000.0
"Phú Nhuận, Hồ Chí Minh",30.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5600.0
"Cầu Giấy, Hà Nội",42.0,3.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,9500.0
"Hai Bà Trưng, Hà Nội",50.0,3.0,4.0,7.0,True,,N/A,N/A,N/A,N/A,27000.0
"Long Biên, Hà Nội",60.0,5.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,15500.0
"Hoàng Mai, Hà Nội",53.0,6.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,12600.0
"Hai Bà Trưng, Hà Nội",31.0,2.0,2.0,4.0,True,,N/A,N/A,N/A,N/A,13000.0
"Ba Đình, Hà Nội",35.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,9900.0
"Ba Đình, Hà Nội",190.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,48000.0
"Quận 12, Hồ Chí Minh",600.0,10.0,10.0,5.0,False,,N/A,N/A,N/A,N/A,36000.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,6659.0
"Long Biên, Hà Nội",33.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,7000.0
"Hai Bà Trưng, Hà Nội",70.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,12000.0
"Quận 8, Hồ Chí Minh",126.0,12.0,12.0,6.0,False,,N/A,N/A,N/A,N/A,12500.0
"Gò Vấp, Hồ Chí Minh",48.0,4.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,8000.0
"Quận 10, Hồ Chí Minh",45.0,4.0,3.0,5.0,True,,N/A,N/A,N/A,N/A,12280.0
"Long Biên, Hà Nội",51.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,8300.0
"Đống Đa, Hà Nội",50.0,6.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,12200.0
"Long Biên, Hà Nội",75.0,5.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,15000.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,1890.0
"Tây Hồ, Hà Nội",50.0,5.0,5.0,8.0,False,,N/A,N/A,N/A,N/A,16300.0
"Long Biên, Hà Nội",115.0,4.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,11700.0
"Thanh Xuân, Hà Nội",35.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,8000.0
"Quận 7, Hồ Chí Minh",268.0,8.0,8.0,7.0,False,,N/A,N/A,N/A,N/A,14500.0
"Nam Từ Liêm, Hà Nội",134.0,45.0,45.0,10.0,False,,N/A,N/A,N/A,N/A,68000.0
"Long Biên, Hà Nội",48.0,3.0,4.0,7.0,False,,N/A,N/A,N/A,N/A,15000.0
"Gò Vấp, Hồ Chí Minh",72.0,4.0,5.0,3.0,False,,N/A,N/A,N/A,N/A,6500.0
"Quận 7, Hồ Chí Minh",49.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,6500.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,1890.0
"Gò Vấp, Hồ Chí Minh",68.0,5.0,6.0,6.0,False,,N/A,N/A,N/A,N/A,10000.0
"Gò Vấp, Hồ Chí Minh",54.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5000.0
"Hai Bà Trưng, Hà Nội",70.0,,,5.0,False,,N/A,N/A,N/A,N/A,19800.0
"Hải An, Hải Phòng",48.0,4.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,3100.0
"Bắc Từ Liêm, Hà Nội",70.0,12.0,12.0,8.0,False,,N/A,N/A,N/A,N/A,13300.0
"Tân Bình, Hồ Chí Minh",50.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,7900.0
"Quận 7, Hồ Chí Minh",100.0,2.0,3.0,3.0,True,,N/A,N/A,N/A,N/A,14500.0
"Quận 4, Hồ Chí Minh",62.0,5.0,6.0,3.0,False,,N/A,N/A,N/A,N/A,6500.0
"Quận 12, Hồ Chí Minh",40.0,2.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,4900.0
"Quận 12, Hồ Chí Minh",132.0,5.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,13700.0
"Cầu Giấy, Hà Nội",50.0,13.0,12.0,8.0,False,,N/A,N/A,N/A,N/A,18800.0
"Hai Bà Trưng, Hà Nội",43.0,,,6.0,False,,N/A,N/A,N/A,N/A,15000.0
"Nam Từ Liêm, Hà Nội",38.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,10300.0
"Long Biên, Hà Nội",62.0,4.0,4.0,4.0,False,,N/A,N/A,N/A,N/A,12000.0
"Long Biên, Hà Nội",58.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,15500.0
"Thủ Đức, Hồ Chí Minh",52.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5800.0
"Nam Từ Liêm, Hà Nội",50.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,10250.0
"Cần Giuộc, Long An",100.0,4.0,5.0,4.0,True,,N/A,N/A,N/A,N/A,5200.0
"Quận 11, Hồ Chí Minh",65.0,7.0,8.0,5.0,True,,N/A,N/A,N/A,N/A,8500.0
"Hải An, Hải Phòng",72.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,5950.0
"Quận 10, Hồ Chí Minh",168.0,12.0,14.0,7.0,False,,N/A,N/A,N/A,N/A,31000.0
"Lê Chân, Hải Phòng",87.0,5.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,6900.0
"Long Biên, Hà Nội",50.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,6850.0
"Hoàng Mai, Hà Nội",33.0,4.0,4.0,6.0,True,,N/A,N/A,N/A,N/A,7850.0
"Hải An, Hải Phòng",52.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,4800.0
"Cầu Giấy, Hà Nội",45.0,3.0,5.0,8.0,False,,N/A,N/A,N/A,N/A,21700.0
"Thủ Đức, Hồ Chí Minh",153.0,8.0,8.0,4.0,False,,N/A,N/A,N/A,N/A,11900.0
"Gò Vấp, Hồ Chí Minh",61.0,4.0,5.0,4.0,False,,N/A,N/A,N/A,N/A,6000.0
"Tây Hồ, Hà Nội",32.0,3.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,8800.0
"Quận 1, Hồ Chí Minh",63.0,3.0,2.0,3.0,True,,N/A,N/A,N/A,N/A,8500.0
"Ba Đình, Hà Nội",46.0,6.0,6.0,6.0,True,,N/A,N/A,N/A,N/A,12000.0
"Lê Chân, Hải Phòng",48.0,4.0,3.0,5.0,True,,N/A,N/A,N/A,N/A,4580.0
"Tân Bình, Hồ Chí Minh",35.0,3.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,4250.0
"Tây Hồ, Hà Nội",40.0,4.0,4.0,7.0,False,,N/A,N/A,N/A,N/A,14800.0
"Đống Đa, Hà Nội",122.0,8.0,5.0,9.0,True,,N/A,N/A,N/A,N/A,11680.0
"Hoài Đức, Hà Nội",45.0,7.0,7.0,6.0,False,,N/A,N/A,N/A,N/A,6900.0
"Gò Vấp, Hồ Chí Minh",54.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,6300.0
"Đống Đa, Hà Nội",27.0,3.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,10500.0
"Hoàng Mai, Hà Nội",38.0,,,6.0,False,,N/A,N/A,N/A,N/A,7600.0
"Lê Chân, Hải Phòng",90.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,7600.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,7000.0
"Tây Hồ, Hà Nội",43.0,3.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,12800.0
"Tân Bình, Hồ Chí Minh",8.0,10.0,12.0,8.0,False,,N/A,N/A,N/A,N/A,26000.0
"Quận 9, Hồ Chí Minh",170.0,4.0,4.0,4.0,True,,N/A,N/A,N/A,N/A,6650.0
